,Candidate.First.Name,Candidate.Last.Name,Freshman.Member,Candidate.Website.URL,Candidate.Gender,Listed.military.service.,Education,Marital.Status,Previous.Electoral.Experience,Position.on.Affordable.Care.Act..ObamaCare.,Position.on.Minimum.Wage,Position.on.Federal.Taxes,Position.on.Business.Regulations,Position.on.National.Debt.Deficit,Position.on.Social.Security,Position.on.Gun.Control,Position.on.Immigration,Position.on.Abortion,Position.on.Same.Sex.Marriage,Position.on.Criminal.Justice.Reform,Position.on.Federal.K.12.Education.Policy,Position.on.Climate.Change,Position.on.Campaign.Finance.Reform,Position.on.Legalization.Decriminalization.of.Marijuana.Policy,Position.on.Defense.Spending,Position.on.Handling.Terrorism.Abroad,Position.on.Russia,Party.Category,Party.Category.1,Trump.Mention,Obama.Mention,Sanders.Mention,Clinton.Mention,Special.Counsel.Mention,Travel.Ban.Mention,SinglePayer,Primary.Outcome,Primary.Runoff.Outcome,Candidate,District,total_runners,State,Office Type,Race Type,Race Primary Election Date,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,District Abbrev
370,ERIN,COLLIER,,https://www.collierforcongress.com/,Female,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,,NEGATIVE MENTION,NEUTRAL MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,erin collier,U.S. House New York District 19,7,NY,Representative,Regular,6/26/18,None,-6.0799999,4.8600001,No,0,0.0,0.0,0.0,0,0.0,0.0,,Yes,Yes,,,,,No,,No,,No,,NY-19
371,BRIAN,FLYNN,,https://www.brianflynn.us/,Male,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,Married,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,,NEGATIVE MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,brian flynn,U.S. House New York District 19,7,NY,Representative,Regular,6/26/18,None,-6.0799999,13.18,No,0,0.0,0.0,0.0,1,0.0,0.0,,No,No,,,,,No,,No,,No,,NY-19
372,PAT,RYAN,,https://patryanforcongress.com/,Male,"Yes, the candidate serves or served in the military",Master's Degree (includes MBA),Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate supports placing smart regulations on business,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Progressive Democrat,,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,pat ryan,U.S. House New York District 19,7,NY,Representative,Regular,6/26/18,None,-6.0799999,17.719999,No,0,1.0,0.0,0.0,0,0.0,0.0,,No,No,,,,,No,,Yes,,Yes,,NY-19
373,GARETH,RHODES,,https://www.garethrhodes.com/,Male,"No, the candidate does not include any information about serving in the military",J.D.,No information,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate supports placing smart regulations on business,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,gareth rhodes,U.S. House New York District 19,7,NY,Representative,Regular,6/26/18,None,-6.0799999,17.85,No,0,0.0,0.0,0.0,0,0.0,0.0,,No,No,,,,,No,,Yes,,No,,NY-19
374,ANTONIO,DELGADO,,https://www.delgadoforcongress.com/,Male,"No, the candidate does not include any information about serving in the military",J.D.,Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate supports placing smart regulations on business,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate notes Russia as political enemy of the United States,Establishment Democrat,,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,POSITIVE MENTION,NO MENTION,,Winner,,antonio delgado,U.S. House New York District 19,7,NY,Representative,Regular,6/26/18,On the Ballot,-6.0799999,21.99,Yes,1,0.0,0.0,0.0,0,0.0,0.0,,No,Yes,,,,,No,,No,,No,,NY-19
375,PATRICK,NELSON,,https://www.nelsonforny.com/,Male,"No, the candidate does not include any information about serving in the military",J.D.,No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate supports placing smart regulations on business,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,,NO MENTION,NO MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,katie wilson,U.S. House New York District 21,5,NY,Representative,Regular,6/26/18,None,-11.43,11.68,No,0,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,No,No,,No,Yes,,,NY-21
376,PATRICK,NELSON,,https://www.nelsonforny.com/,Male,"No, the candidate does not include any information about serving in the military",J.D.,No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate supports placing smart regulations on business,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,,NO MENTION,NO MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,patrick nelson,U.S. House New York District 21,5,NY,Representative,Regular,6/26/18,None,-11.43,9.1199999,No,0,0.0,0.0,0.0,0,1.0,0.0,,,Yes,,,,Yes,Yes,,No,No,,,NY-21
377,EMILY,MARTZ,,https://martzforcongress.com/,Female,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,No information,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate supports placing smart regulations on business,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,emily martz,U.S. House New York District 21,5,NY,Representative,Regular,6/26/18,None,-11.43,10.37,No,0,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,No,No,,No,No,,,NY-21
378,DON,BOYAJIAN,,https://don2018.com/,Male,"No, the candidate does not include any information about serving in the military",J.D.,No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,"Candidate opposes business regulations and other ""red tape""",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Loser,,dylan ratigan,U.S. House New York District 21,5,NY,Representative,Regular,6/26/18,None,-11.43,11.91,No,0,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,No,No,,No,No,,,NY-21
379,KATIE,WILSON,,https://www.katiewilsonforcongress.com/,Female,"No, the candidate does not include any information about serving in the military",Some College,Divorced,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,katie wilson,U.S. House New York District 21,5,NY,Representative,Regular,6/26/18,None,-11.43,11.68,No,0,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,No,No,,No,Yes,,,NY-21
380,KATIE,WILSON,,https://www.katiewilsonforcongress.com/,Female,"No, the candidate does not include any information about serving in the military",Some College,Divorced,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,patrick nelson,U.S. House New York District 21,5,NY,Representative,Regular,6/26/18,None,-11.43,9.1199999,No,0,0.0,0.0,0.0,0,1.0,0.0,,,Yes,,,,Yes,Yes,,No,No,,,NY-21
381,DYLAN,RATIGAN,,https://www.dylanratigan.com/,Male,"No, the candidate does not include any information about serving in the military",No Education Information Listed,No information,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate supports placing smart regulations on business,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate opposes legalization/decriminalization of marijuana,Candidate opposes reductions in military spending,Candidate supports status quo efforts to combat terrorism,Candidate provides no information,Establishment Democrat,,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,dylan ratigan,U.S. House New York District 21,5,NY,Representative,Regular,6/26/18,None,-11.43,11.91,No,0,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,No,No,,No,No,,,NY-21
382,TEDRA,COBB,,https://www.tedracobb.com/,Female,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,Married,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,"Candidate opposes business regulations and other ""red tape""",Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Winner,,tedra cobb,U.S. House New York District 21,5,NY,Representative,Regular,6/26/18,On the Ballot,-11.43,56.009998,Yes,0,0.0,0.0,1.0,0,0.0,0.0,,,Yes,,,,Yes,No,,Yes,No,,,NY-21
383,LINDA,ANDREI,,https://www.andreimd4congress.com/,Female,"No, the candidate does not include any information about serving in the military",M.D./D.M.D./D.O./D.D.S./D.V.M.,Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate supports placing smart regulations on business,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate provides no information,Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate supports calls for increased American intervention to combat terrorism,Candidate notes Russia as political enemy of the United States,Establishment Democrat,,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,linda andrei,U.S. House New York District 23,5,NY,Representative,Regular,6/26/18,None,-13.93,15.33,No,0,0.0,0.0,0.0,0,1.0,0.0,,,No,,,,No,No,,,No,,,NY-23
384,MAX,DELLA PIA,,https://www.maxhdellapia.com/,Male,"Yes, the candidate serves or served in the military",J.D.,Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate supports placing smart regulations on business,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate provides complicated/complex/unclear position,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate supports calls for increased American intervention to combat terrorism,Candidate notes Russia as political enemy of the United States,Establishment Democrat,,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,max della pia,U.S. House New York District 23,5,NY,Representative,Regular,6/26/18,None,-13.93,32.400002,No,0,1.0,0.0,0.0,0,0.0,0.0,,,No,,,,No,No,,,No,,,NY-23
385,IAN,GOLDEN,,https://www.goldenforcongress.com/,Male,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,ian golden,U.S. House New York District 23,5,NY,Representative,Regular,6/26/18,None,-13.93,13.44,No,0,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,Yes,Yes,,,No,,,NY-23
386,EDWARD,SUNDQUIST,,https://www.eddiesundquist.com/,Male,"No, the candidate does not include any information about serving in the military",J.D.,No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate supports placing smart regulations on business,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,eddie sundquist,U.S. House New York District 23,5,NY,Representative,Regular,6/26/18,None,-13.93,6.4200001,No,0,0.0,1.0,0.0,0,1.0,0.0,,,No,,,,No,No,,,No,,,NY-23
387,TRACY,MITRANO,,https://tracymitranoforcongress.com/,Female,"No, the candidate does not include any information about serving in the military",Ph.D.,No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate supports placing smart regulations on business,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides complicated/complex/unclear position,Candidate provides no information,Progressive Democrat,,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Winner,,tracy mitrano,U.S. House New York District 23,5,NY,Representative,Regular,6/26/18,On the Ballot,-13.93,32.299999,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,No,No,,,Yes,,,NY-23
388,JUANITA,WILLIAMS,,https://voteforjuanita.com/,Female,"Yes, the candidate serves or served in the military",J.D.,Married,,Candidate explicitly supports ACA,Candidate supports raising the minimum wage,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Loser,,juanita perez williams,U.S. House New York District 24,2,NY,Representative,Regular,6/26/18,None,4.1399999,37.23,No,1,1.0,0.0,0.0,0,0.0,0.0,Yes,Yes,Yes,,,,No,No,No,No,No,Yes,,NY-24
389,DANA,BALTER,,https://electdanabalter.com/,Female,"No, the candidate does not include any information about serving in the military",Ph.D.,No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports major criminal justice reform,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,,NO MENTION,NO MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Winner,,dana balter,U.S. House New York District 24,2,NY,Representative,Regular,6/26/18,On the Ballot,4.1399999,62.380001,Yes,0,0.0,0.0,0.0,0,0.0,0.0,No,No,Yes,,,,Yes,No,Yes,Yes,Yes,No,,NY-24
390,ROBIN,WILT,,https://www.wiltforcongress.com/,Female,"No, the candidate does not include any information about serving in the military",No Education Information Listed,Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate supports placing smart regulations on business,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,robin wilt,U.S. House New York District 25,4,NY,Representative,Regular,6/26/18,None,14.62,17.35,No,1,0.0,0.0,1.0,0,0.0,0.0,,,Yes,,,,Yes,,,,No,,,NY-25
391,ADAM,MCFADDEN,,https://www.mcfaddenforcongress.com/,Male,"No, the candidate does not include any information about serving in the military",No Education Information Listed,No information,Candidate mentions previous elected office experience,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,adam mcfadden,U.S. House New York District 25,4,NY,Representative,Regular,6/26/18,None,14.62,17.450001,No,1,0.0,0.0,1.0,0,0.0,0.0,,,No,,,,No,,,,No,,,NY-25
392,RACHEL,BARNHART,,http://rachel2018.com/,Female,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,"Candidate supports local solutions to reform education (e.g. opposes common core, etc.)",Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,rachel barnhart,U.S. House New York District 25,4,NY,Representative,Regular,6/26/18,None,14.62,19.77,No,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,No,,,,No,,,NY-25
393,JOSEPH,MORELLE,,https://www.votemorelle.com/,Male,"No, the candidate does not include any information about serving in the military",No Education Information Listed,Married,Candidate mentions previous elected office experience,Candidate provides no information,Candidate provides no information,Candidate opposes raises taxes (or candidate supports lowering taxes for all),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate provides no information,Candidate provides no information,Candidate supports marriage equality measures,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Winner,,joseph morelle,U.S. House New York District 25,4,NY,Representative,Regular,6/26/18,On the Ballot,14.62,45.290001,Yes,0,0.0,0.0,1.0,0,0.0,0.0,,,Yes,,,,No,,,,Yes,,,NY-25
394,JANET,EVERHARD,,https://www.drjanetforcongress.com/,Female,"No, the candidate does not include any information about serving in the military",M.D./D.M.D./D.O./D.D.S./D.V.M.,No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides complicated/complex/unclear position,Candidate supports marriage equality measures,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,,NEGATIVE MENTION,NEUTRAL MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,janet everhard,U.S. House Ohio District 2,3,OH,Representative,Regular,5/8/18,None,-17.360001,34.400002,No,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,,,,,,,,OH-2
395,WILLIAM,SMITH,,NONE,Male,"No, the candidate does not include any information about serving in the military",No Education Information Listed,No information,,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Other,,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Loser,,william smith,U.S. House Ohio District 2,3,OH,Representative,Regular,5/8/18,None,-17.360001,11.4,No,0,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,,,,,,,,OH-2
