Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Gun Sense Candidate?,Biden Endorsed?,Warren Endorsed?,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,total_runners,Total Endorsements,Endorsed,receipts,Listed.military.service.,Education,Marital.Status,Previous.Electoral.Experience,Position.on.Affordable.Care.Act..ObamaCare.,Position.on.Minimum.Wage,Position.on.Federal.Taxes,Position.on.Business.Regulations,Position.on.National.Debt.Deficit,Position.on.Social.Security,Position.on.Gun.Control,Position.on.Immigration,Position.on.Abortion,Position.on.Same.Sex.Marriage,Position.on.Criminal.Justice.Reform,Position.on.Federal.K.12.Education.Policy,Position.on.Climate.Change,Position.on.Campaign.Finance.Reform,Position.on.Legalization.Decriminalization.of.Marijuana.Policy,Position.on.Defense.Spending,Position.on.Handling.Terrorism.Abroad,Position.on.Russia,Party.Category,Female,SinglePayer
J.D. Scholten,IA,U.S. House Iowa District 4,Representative,Regular,6/5/18,1,None,On the Ballot,-25.110001,51.259998,1,0,0,0,0,0,No,,,,,,,1.0,,,,1.0,,,3,2.0,1,3309882.21,0,Bachelor's or some college,No information,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,0.0,1
John Paschen,IA,U.S. House Iowa District 4,Representative,Regular,6/5/18,0,None,None,-25.110001,16.719999,0,0,0,0,0,1,No,,,,,,,0.0,,,,0.0,,,3,0.0,0,134554.02,0,Other Graduate,Married,1,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,0
Leann Jacobsen,IA,U.S. House Iowa District 4,Representative,Regular,6/5/18,0,None,None,-25.110001,31.92,0,0,0,1,0,0,No,,,,,,,0.0,,,,0.0,,,3,0.0,0,276410.33,0,Other,Married,1,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Other,1.0,0
Christina McNeil,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,1,None,On the Ballot,-39.43,69.699997,1,1,0,0,0,0,No,,,,,,,,,,,,,,3,0.0,0,0.0,0,Master's Degree (includes MBA),Single,0,Candidate explicitly supports ACA,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,0,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,1.0,0
James Vandermaas,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,0,None,None,-39.43,15.8,0,0,0,0,0,0,No,,,,,,,,,,,,,,3,0.0,0,19204.87,0,Other,No information,0,Candidate provides complicated/complex/unclear position,Candidate provides complicated/complex/unclear position,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),0,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate notes Russia as political enemy of the United States,Establishment Democrat,0.0,1
Michael Smith,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,0,None,None,-39.43,14.5,0,0,0,0,0,0,No,,,,,,,,,,,,,,3,0.0,0,0.0,1,Other,No information,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate supports placing smart regulations on business,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),0,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports a reduction in military spending,Candidate provides no information,Candidate provides no information,Progressive Democrat,0.0,1
Aaron Swisher,ID,U.S. House Idaho District 2,Representative,Regular,5/15/18,1,None,On the Ballot,-28.809999,67.599998,1,0,0,0,0,0,No,,,,,,,,,,,,,,2,0.0,0,133276.77,0,Bachelor's or some college,Married,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,0,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Progressive Democrat,0.0,0
Peter Rickards,ID,U.S. House Idaho District 2,Representative,Regular,5/15/18,0,None,None,-28.809999,32.400002,0,0,0,0,0,0,No,,,,,,,,,,,,,,2,0.0,0,0.0,0,Other,No information,0,Candidate explicitly supports ACA,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,"Candidate opposes business regulations and other ""red tape""",Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Other,0.0,0
Brendan Kelly,IL,U.S. House Illinois District 12,Representative,Regular,3/20/18,1,None,On the Ballot,-13.26,81.0,1,0,0,0,0,0,No,1.0,,,1.0,,,,,,,,1.0,,2,3.0,1,3931101.31,1,J.D.,Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,0
David Bequette,IL,U.S. House Illinois District 12,Representative,Regular,3/20/18,0,None,None,-13.26,19.0,0,0,0,0,0,0,No,0.0,,,0.0,,,,,,,,0.0,,2,0.0,0,14684.25,1,Bachelor's or some college,Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate provides complicated/complex/unclear position,Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate supports major criminal justice reform,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate opposes reductions in military spending,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,0
Angel Sides,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,0,None,None,-6.73,4.1999998,0,0,0,0,0,0,No,0.0,0.0,,,,,,0.0,,,,,,5,0.0,0,0.0,0,Other,No information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Other,1.0,0
Betsy Londrigan,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,1,None,On the Ballot,-6.73,45.700001,1,0,0,0,0,0,No,1.0,1.0,,,,,,0.0,,,,,,5,2.0,1,4258543.71,0,Bachelor's or some college,Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),0,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,1.0,0
David Gill,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,0,None,None,-6.73,14.4,0,0,0,0,0,1,No,0.0,0.0,,,,,,1.0,,,,,,5,1.0,1,92460.82,0,Other Graduate,Married,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,1
Erik Jones,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,0,None,None,-6.73,22.4,0,0,0,0,0,0,No,0.0,0.0,,,,,,0.0,,,,,,5,0.0,0,516102.36,0,J.D.,Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,1
Jonathan Ebel,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,0,None,None,-6.73,13.3,0,0,0,0,0,0,No,0.0,0.0,,,,,,0.0,,,,,,5,0.0,0,285338.87,1,Other Graduate,Married,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),0,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate notes Russia as political enemy of the United States,Establishment Democrat,0.0,1
Daniel Roldan-Johnson,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,0,None,None,-7.96,2.3,0,0,1,0,0,0,No,0.0,0.0,0.0,,0.0,,0.0,,,,,,,7,0.0,0,0.0,0,Master's Degree (includes MBA),No information,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate notes Russia as political enemy of the United States,Establishment Democrat,0.0,0
George Weber,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,0,None,None,-7.96,5.0,0,0,0,0,0,1,No,0.0,0.0,0.0,,0.0,,0.0,,,,,,,7,0.0,0,17255.0,0,Other,Married,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,1
Jim Walz,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,0,None,None,-7.96,10.0,0,0,0,0,0,0,No,0.0,0.0,0.0,,0.0,,1.0,,,,,,,7,1.0,1,15711.48,0,Bachelor's or some college,Married,1,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate supports major criminal justice reform,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate supports a reduction in military spending,Candidate provides no information,Candidate provides no information,Progressive Democrat,0.0,1
John Hosta,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,0,None,None,-7.96,5.0,0,0,0,0,0,0,No,0.0,0.0,0.0,,0.0,,0.0,,,,,,,7,0.0,0,0.0,0,Bachelor's or some college,No information,0,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,"Candidate supports local solutions to reform education (e.g. opposes common core, etc.)",Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate opposes reductions in military spending,Candidate provides no information,Candidate provides no information,Other,0.0,0
Lauren Underwood,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,1,None,On the Ballot,-7.96,57.299999,1,1,0,0,0,1,Yes,1.0,1.0,1.0,,1.0,,0.0,,,,,,,7,4.0,1,4927141.64,0,Master's Degree (includes MBA),No information,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),0,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,1.0,0
Matt Brolley,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,0,None,None,-7.96,13.4,0,0,0,1,0,1,No,0.0,0.0,0.0,,0.0,,0.0,,,,,,,7,0.0,0,165970.12,0,Bachelor's or some college,Married,1,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,0,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,0.0,0
Victor Swanson,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,0,None,None,-7.96,7.0,0,0,0,0,0,0,No,0.0,0.0,0.0,,0.0,,0.0,,,,,,,7,0.0,0,80409.88,1,Master's Degree (includes MBA),No information,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,0.0,1
Carl Spoerer,IL,U.S. House Illinois District 15,Representative,Regular,3/20/18,0,None,None,-44.630001,37.900002,0,0,0,0,0,1,No,,,,,,,,,,,,,,2,0.0,0,26195.74,0,Bachelor's or some college,Married,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate supports placing smart regulations on business,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate supports calls for increased American intervention to combat terrorism,Candidate provides no information,Progressive Democrat,0.0,1
Kevin Gaither,IL,U.S. House Illinois District 15,Representative,Regular,3/20/18,1,None,On the Ballot,-44.630001,62.099998,1,0,0,0,0,0,No,,,,,,,,,,,,,,2,0.0,0,53605.89,0,Other,No information,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate supports major criminal justice reform,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate supports legalization/decriminalization of marijuana,Candidate supports a reduction in military spending,Candidate provides no information,Candidate provides complicated/complex/unclear position,Establishment Democrat,0.0,0
Amy Murri Briel,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,0,None,None,-17.360001,19.5,0,0,0,0,0,0,No,,,,,,,1.0,,,,,,,4,1.0,1,17571.0,0,Bachelor's or some college,Married,0,Candidate explicitly supports ACA,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),0,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,1.0,0
Beth Vercolio-Osmund,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,0,None,None,-17.360001,13.0,0,0,0,0,0,0,No,,,,,,,0.0,,,,,,,4,0.0,0,13098.0,0,Bachelor's or some college,Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,0,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,1.0,1
Neill Mohammad,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,0,None,None,-17.360001,27.200001,0,1,0,0,0,0,No,,,,,,,0.0,,,,,,,4,0.0,0,213341.55,0,Other Graduate,No information,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,1,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate supports a reduction in military spending,Candidate provides complicated/complex/unclear position,Candidate provides complicated/complex/unclear position,Progressive Democrat,0.0,1
Sara Dady,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,1,None,On the Ballot,-17.360001,40.299999,1,0,0,0,0,0,No,,,,,,,0.0,,,,,,,4,0.0,0,382450.38,0,J.D.,Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),0,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Establishment Democrat,1.0,1
Brian Deters,IL,U.S. House Illinois District 18,Representative,Regular,3/20/18,0,None,None,-28.83,39.5,0,0,0,0,0,0,No,,,,,,,,,,,,,,3,0.0,0,20583.09,0,Master's Degree (includes MBA),Married,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,1,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate supports a reduction in military spending,Candidate supports status quo efforts to combat terrorism,Candidate provides complicated/complex/unclear position,Establishment Democrat,0.0,1
Darrel Miller,IL,U.S. House Illinois District 18,Representative,Regular,3/20/18,0,None,None,-28.83,18.799999,0,0,0,0,0,0,No,,,,,,,,,,,,,,3,0.0,0,0.0,0,Bachelor's or some college,Married,0,Candidate provides complicated/complex/unclear position,Candidate provides complicated/complex/unclear position,Candidate provides complicated/complex/unclear position,Candidate supports placing smart regulations on business,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate provides complicated/complex/unclear position,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-life position (i.e. anti-abortion),0,Candidate supports major criminal justice reform,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate supports a reduction in military spending,Candidate provides no information,Candidate provides no information,Moderate Democrat,0.0,0
Junius Rodriguez,IL,U.S. House Illinois District 18,Representative,Regular,3/20/18,1,None,On the Ballot,-28.83,41.700001,1,0,0,0,0,0,No,,,,,,,,,,,,,,3,0.0,0,78311.3,0,Other Graduate,No information,0,Candidate provides no information,Candidate supports raising the minimum wage,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate proposes reforms to reshape Social Security (e.g. increasing the retirement age; means-testing; etc.),Candidate provides no information,Candidate provides no information,Candidate provides no information,0,Candidate supports major criminal justice reform,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Moderate Democrat,0.0,0
Jesus Garcia,IL,U.S. House Illinois District 4,Representative,Regular,3/20/18,1,None,On the Ballot,65.089996,66.199997,1,1,0,1,0,0,No,,0.0,,,,1.0,1.0,,,,,,,3,2.0,1,873126.05,0,Master's Degree (includes MBA),Married,1,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,0.0,0
Richard Gonzalez,IL,U.S. House Illinois District 4,Representative,Regular,3/20/18,0,None,None,65.089996,11.9,0,1,0,0,0,0,No,,0.0,,,,0.0,0.0,,,,,,,3,0.0,0,47110.0,0,Bachelor's or some college,No information,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,0,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,1
Sol Flores,IL,U.S. House Illinois District 4,Representative,Regular,3/20/18,0,None,None,65.089996,21.9,0,1,0,0,0,0,No,,1.0,,,,0.0,0.0,,,,,,,3,1.0,1,341189.07,0,Bachelor's or some college,No information,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),0,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,1.0,1
