"","Candidate.First.Name","Candidate.Last.Name","Candidate.State","Candidate.District","Candidate.Party","Incumbent","Freshman.Member","Candidate.Website.URL","Candidate.Gender","Listed.military.service.","Education","Marital.Status","Previous.Electoral.Experience","Position.on.Affordable.Care.Act..ObamaCare.","Position.on.Minimum.Wage","Position.on.Federal.Taxes","Position.on.Business.Regulations","Position.on.National.Debt.Deficit","Position.on.Social.Security","Position.on.Gun.Control","Position.on.Immigration","Position.on.Abortion","Position.on.Same.Sex.Marriage","Position.on.Criminal.Justice.Reform","Position.on.Federal.K.12.Education.Policy","Position.on.Climate.Change","Position.on.Campaign.Finance.Reform","Position.on.Legalization.Decriminalization.of.Marijuana.Policy","Position.on.Defense.Spending","Position.on.Handling.Terrorism.Abroad","Position.on.Russia","Party.Category","Party.Category.1","Incumbency","Female","Democrat","Republican","Trump.Mention","Obama.Mention","Sanders.Mention","Clinton.Mention","Special.Counsel.Mention","Travel.Ban.Mention","SinglePayer","Primary.Outcome","Primary.Runoff.Outcome"
"585","SHERRY","ALU CAMPAGNA","HI",2,"Democrat","","","www.sherryforhawaii.com","Female","No, the candidate does not include any information about serving in the military","Master's Degree (includes MBA)","No information","","Candidate provides complicated/complex/unclear position","Candidate supports raising the minimum wage","Candidate supports raising taxes on the wealthy/corporations","Candidate supports placing smart regulations on business","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate supports gun control measures","Candidate provides complicated/complex/unclear position","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate supports marriage equality measures","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate supports regulations and measures to combat climate change","Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)","Candidate supports legalization/decriminalization of marijuana","Candidate provides no information","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,1,1,0,"NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Loser",""
"586","ANTHONY","AUSTIN","HI",2,"Democrat","","","www.anthonytonyaustinforcongress.com","Male","Yes, the candidate serves or served in the military","Master's Degree (includes MBA)","No information","Candidate mentions previous elected office experience","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports regulations and measures to combat climate change","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,0,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Loser",""
"587","TULSI","GABBARD","HI",2,"Democrat","Candidate is an incumbent Member of Congress","","https://www.votetulsi.com/","Female","Yes, the candidate serves or served in the military","Bachelor's Degree","No information","Candidate mentions previous elected office experience","Candidate provides complicated/complex/unclear position","Candidate supports raising the minimum wage","Candidate supports raising taxes on the wealthy/corporations","Candidate supports placing smart regulations on business","Candidate provides no information","Candidate supports protecting the status quo Social Security system","Candidate supports gun control measures","Candidate provides no information","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate supports marriage equality measures","Candidate supports major criminal justice reform","Candidate provides no information","Candidate supports regulations and measures to combat climate change","Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)","Candidate supports legalization/decriminalization of marijuana","Candidate provides complicated/complex/unclear position","Candidate provides complicated/complex/unclear position","Candidate provides no information","Progressive Democrat","",1,1,1,0,"NEGATIVE MENTION","POSITIVE MENTION","POSITIVE MENTION","NO MENTION","NO MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Winner",""
"588","BRIAN","EVANS","HI",2,"Republican","","","www.brianevansforcongress.com","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports legalization/decriminalization of marijuana","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Business/Establishment Republican",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"589","THOMAS","HECKROTH","IA",1,"Democrat","","","https://thomasheckroth.com/","Male","No, the candidate does not include any information about serving in the military","Master's Degree (includes MBA)","Married","","Candidate provides complicated/complex/unclear position","Candidate supports raising the minimum wage","Candidate supports raising taxes on the wealthy/corporations","Candidate provides no information","Candidate provides no information","Candidate supports protecting the status quo Social Security system","Candidate provides no information","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate supports marriage equality measures","Candidate provides no information","Candidate supports federal proposals for major education reform (including common core)","Candidate supports regulations and measures to combat climate change","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Progressive Democrat","",0,0,1,0,"NEGATIVE MENTION","POSITIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"590","GEORGE","RAMSEY","IA",1,"Democrat","","","https://ramseyforuscongress.org/","Male","Yes, the candidate serves or served in the military","No Education Information Listed","No information","","Candidate provides complicated/complex/unclear position","Candidate supports raising the minimum wage","Candidate supports raising taxes on the wealthy/corporations","Candidate provides no information","Candidate provides no information","Candidate supports protecting the status quo Social Security system","Candidate supports gun control measures","Candidate provides no information","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate provides no information","Candidate supports major criminal justice reform","Candidate supports federal proposals for major education reform (including common core)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,0,1,0,"NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"591","COURTNEY","ROWE","IA",1,"Democrat","","","http://www.courtneyroweforcongress.org/","Female","Yes, the candidate serves or served in the military","Bachelor's Degree","Married","","Candidate provides complicated/complex/unclear position","Candidate supports raising the minimum wage","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports marriage equality measures","Candidate supports major criminal justice reform","Candidate provides no information","Candidate provides no information","Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)","Candidate supports legalization/decriminalization of marijuana","Candidate provides no information","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,1,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Loser",""
"592","ABBY","FINENAUER","IA",1,"Democrat","","","https://www.abbyfinkenauer.com/","Female","No, the candidate does not include any information about serving in the military","Bachelor's Degree","No information","Candidate mentions previous elected office experience","Candidate provides complicated/complex/unclear position","Candidate supports raising the minimum wage","Candidate supports raising taxes on the wealthy/corporations","Candidate opposes business regulations and other ""red tape""","Candidate provides no information","Candidate supports protecting the status quo Social Security system","Candidate provides no information","Candidate provides no information","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate provides no information","Candidate provides no information","Candidate supports federal proposals for major education reform (including common core)","Candidate supports regulations and measures to combat climate change","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Progressive Democrat","",0,1,1,0,"NEGATIVE MENTION","NEUTRAL MENTION","NO MENTION","NO MENTION","POSITIVE MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Winner",""
"593","ROD","BLUM","IA",1,"Republican","Candidate is an incumbent Member of Congress","","http://rodblum.com/","Male","No, the candidate does not include any information about serving in the military","Bachelor's Degree","Married","Candidate mentions previous elected office experience","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate opposes business regulations and other ""red tape""","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate proposes reforms to reshape Social Security (e.g. increasing the retirement age; means-testing; etc.)","Candidate opposes gun control of all kinds (including background checks)","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate provides no information","Candidate provides no information","Candidate supports local solutions to reform education (e.g. opposes common core, etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","","Conservative Republican",1,0,0,1,"POSITIVE MENTION","NO MENTION","NO MENTION","NEGATIVE MENTION","NO MENTION","NO MENTION","","Winner",""
"594","DAVE","LOEBSACK","IA",2,"Democrat","Candidate is an incumbent Member of Congress","","https://www.loebsackforcongress.org/","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","Married","Candidate mentions previous elected office experience","Candidate provides complicated/complex/unclear position","Candidate supports raising the minimum wage","Candidate supports raising taxes on the wealthy/corporations","Candidate provides no information","Candidate provides no information","Candidate supports protecting the status quo Social Security system","Candidate provides no information","Candidate provides no information","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports regulations and measures to combat climate change","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Progressive Democrat","",1,0,1,0,"NEGATIVE MENTION","COMPLICATED","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"595","CHRISTOPHER","PETERS","IA",2,"Republican","","","https://drpetersforiowa.com/","Male","Yes, the candidate serves or served in the military","M.D./D.M.D./D.O./D.D.S./D.V.M.","Married","","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate opposes business regulations and other ""red tape""","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate proposes reforms to reshape Social Security (e.g. increasing the retirement age; means-testing; etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports major criminal justice reform","Candidate supports local solutions to reform education (e.g. opposes common core, etc.)","Candidate provides no information","Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides complicated/complex/unclear position","Candidate provides no information","","Conservative Republican",0,0,0,1,"NEGATIVE MENTION","COMPLICATED","COMPLICATED","NEGATIVE MENTION","NO MENTION","NO MENTION","","Winner",""
"596","PETE","D'ALESANDRO","IA",3,"Democrat","","","http://peteforiowa.com/","Male","No, the candidate does not include any information about serving in the military","Bachelor's Degree","No information","","Candidate provides complicated/complex/unclear position","Candidate supports raising the minimum wage","Candidate supports raising taxes on the wealthy/corporations","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports regulations and measures to combat climate change","Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Progressive Democrat","",0,0,1,0,"NEGATIVE MENTION","NO MENTION","POSITIVE MENTION","NO MENTION","NO MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Loser",""
"597","EDDIE","MAURO","IA",3,"Democrat","","","https://www.eddiemauro.com/","Male","No, the candidate does not include any information about serving in the military","Bachelor's Degree","Married","","Candidate explicitly supports ACA","Candidate supports raising the minimum wage","Candidate supports raising taxes on the wealthy/corporations","Candidate provides no information","Candidate provides no information","Candidate supports protecting the status quo Social Security system","Candidate supports gun control measures","Candidate provides no information","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate provides no information","Candidate supports major criminal justice reform","Candidate provides complicated/complex/unclear position","Candidate supports regulations and measures to combat climate change","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,0,1,0,"NEUTRAL MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"598","CINDY","AXNE","IA",3,"Democrat","","","https://cindyaxneforcongress.com/","Female","No, the candidate does not include any information about serving in the military","Master's Degree (includes MBA)","Married","","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports protecting the status quo Social Security system","Candidate provides no information","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate supports marriage equality measures","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate supports regulations and measures to combat climate change","Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,1,1,0,"NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"599","DAVID","YOUNG","IA",3,"Republican","Candidate is an incumbent Member of Congress","","http://www.davidyoungforiowa.com/","Male","No, the candidate does not include any information about serving in the military","Bachelor's Degree","No information","Candidate mentions previous elected office experience","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate opposes business regulations and other ""red tape""","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Conservative Republican",1,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"600","JOHN","PASCHEN","IA",4,"Democrat","","","https://www.apaschenforiowa.com/","Male","No, the candidate does not include any information about serving in the military","M.D./D.M.D./D.O./D.D.S./D.V.M.","Married","Candidate mentions previous elected office experience","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,0,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"601","LEANNE","JACOBSEN","IA",4,"Democrat","","","https://www.leannjacobsen.com/","Female","No, the candidate does not include any information about serving in the military","No Education Information Listed","Married","Candidate mentions previous elected office experience","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Other","",0,1,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"602","J.D.","SCHOLTEN","IA",4,"Democrat","","","https://www.scholten4iowa.com/","Male","No, the candidate does not include any information about serving in the military","Bachelor's Degree","No information","","Candidate provides complicated/complex/unclear position","Candidate supports raising the minimum wage","Candidate supports raising taxes on the wealthy/corporations","Candidate provides no information","Candidate provides no information","Candidate supports protecting the status quo Social Security system","Candidate supports gun control measures","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate supports marriage equality measures","Candidate provides no information","Candidate provides no information","Candidate supports regulations and measures to combat climate change","Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Progressive Democrat","",0,0,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Winner",""
"603","CYNDI","HANSON","IA",4,"Republican","","","https://hanson4iowa.com/","Female","No, the candidate does not include any information about serving in the military","Master's Degree (includes MBA)","No information","","Candidate provides no information","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate provides no information","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Conservative Republican",0,1,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"604","STEVE","KING","IA",4,"Republican","Candidate is an incumbent Member of Congress","","https://www.steveking.com/","Male","No, the candidate does not include any information about serving in the military","High School","Married","Candidate mentions previous elected office experience","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate opposes business regulations and other ""red tape""","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate provides no information","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Tea Party Republican",1,0,0,1,"POSITIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"605","JAMES","VANDERMAAS","ID",1,"Democrat","","","http://www.votevandermaas.com/","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate provides complicated/complex/unclear position","Candidate provides complicated/complex/unclear position","Candidate supports raising taxes on the wealthy/corporations","Candidate provides no information","Candidate provides no information","Candidate supports protecting the status quo Social Security system","Candidate supports gun control measures","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate provides no information","Candidate provides no information","Candidate supports federal proposals for major education reform (including common core)","Candidate provides no information","Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate notes Russia as political enemy of the United States","Establishment Democrat","",0,0,1,0,"NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","POSITIVE MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Loser",""
"606","MICHAEL ","SMITH","ID",1,"Democrat","","","https://www.michaelsmith4idaho.com/","Male","Yes, the candidate serves or served in the military","No Education Information Listed","No information","","Candidate provides complicated/complex/unclear position","Candidate supports raising the minimum wage","Candidate supports raising taxes on the wealthy/corporations","Candidate supports placing smart regulations on business","Candidate provides no information","Candidate supports protecting the status quo Social Security system","Candidate provides no information","Candidate provides no information","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate provides no information","Candidate supports major criminal justice reform","Candidate supports federal proposals for major education reform (including common core)","Candidate supports regulations and measures to combat climate change","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate supports a reduction in military spending","Candidate provides no information","Candidate provides no information","Progressive Democrat","",0,0,1,0,"NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Loser",""
"607","CHRISTINA","MCNEIL","ID",1,"Democrat","","","https://www.christinaforcongress.net","Female","No, the candidate does not include any information about serving in the military","Master's Degree (includes MBA)","Single","","Candidate explicitly supports ACA","Candidate supports raising the minimum wage","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports federal proposals for major education reform (including common core)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,1,1,0,"NO MENTION","POSITIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"608","NICK","HENDERSON","ID",1,"Republican","","","https://www.nickhenderson.vote/","Male","Yes, the candidate serves or served in the military","High School","No information","","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate opposes business regulations and other ""red tape""","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate opposes gun control of all kinds (including background checks)","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate provides no information","Candidate provides no information","Candidate supports local solutions to reform education (e.g. opposes common core, etc.)","Candidate provides no information","Candidate provides no information","Candidate supports legalization/decriminalization of marijuana","Candidate opposes reductions in military spending","Candidate provides complicated/complex/unclear position","Candidate provides no information","","Conservative Republican",0,0,0,1,"POSITIVE MENTION","NEGATIVE MENTION","NO MENTION","NEUTRAL MENTION","NO MENTION","NO MENTION","","Loser",""
"609","MICHAEL","SNYDER","ID",1,"Republican","","","https://www.michaelsnyderforcongress.com/","Male","No, the candidate does not include any information about serving in the military","J.D.","Married","","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides complicated/complex/unclear position","Candidate opposes gun control of all kinds (including background checks)","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate provides no information","Candidate provides no information","Candidate supports local solutions to reform education (e.g. opposes common core, etc.)","Candidate opposes climate change regulations OR denies the effects of climate change","Candidate provides no information","Candidate supports legalization/decriminalization of marijuana","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","","Conservative Republican",0,0,0,1,"POSITIVE MENTION","NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"610","DAVID","LEROY","ID",1,"Republican","","","http://leroyforidaho.com/","Male","No, the candidate does not include any information about serving in the military","J.D.","Married","Candidate mentions previous elected office experience","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate opposes business regulations and other ""red tape""","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate opposes gun control of all kinds (including background checks)","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate provides no information","Candidate provides no information","Candidate supports local solutions to reform education (e.g. opposes common core, etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports calls for increased American intervention to combat terrorism","Candidate provides no information","","Conservative Republican",0,0,0,1,"POSITIVE MENTION","NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"611","CHRISTY","PERRY","ID",1,"Republican","","","https://christyperryforidaho.com/","Female","No, the candidate does not include any information about serving in the military","Master's Degree (includes MBA)","Married","Candidate mentions previous elected office experience","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate opposes business regulations and other ""red tape""","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate opposes gun control of all kinds (including background checks)","Candidate provides complicated/complex/unclear position","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate provides no information","Candidate provides no information","Candidate supports local solutions to reform education (e.g. opposes common core, etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate opposes reductions in military spending","Candidate provides no information","Candidate provides no information","","Conservative Republican",0,1,0,1,"NO MENTION","NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"612","LUKE","MALEK","ID",1,"Republican","","","https://www.lukemalek.com/","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","Married","Candidate mentions previous elected office experience","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate opposes business regulations and other ""red tape""","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate opposes gun control of all kinds (including background checks)","Candidate provides complicated/complex/unclear position","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate provides no information","Candidate provides no information","Candidate supports local solutions to reform education (e.g. opposes common core, etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Conservative Republican",0,0,0,1,"POSITIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"613","ALEX","GALLEGOS","ID",1,"Republican","","","https://www.alexforidaho.com/","Male","Yes, the candidate serves or served in the military","Master's Degree (includes MBA)","Married","","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate opposes business regulations and other ""red tape""","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports local solutions to reform education (e.g. opposes common core, etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate opposes reductions in military spending","Candidate provides no information","Candidate provides no information","","Conservative Republican",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"614","RUSS","FULCHER","ID",1,"Republican","","","http://russfulcher.com/","Male","No, the candidate does not include any information about serving in the military","Master's Degree (includes MBA)","Married","Candidate mentions previous elected office experience","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate opposes business regulations and other ""red tape""","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate opposes gun control of all kinds (including background checks)","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate provides no information","Candidate provides no information","Candidate supports local solutions to reform education (e.g. opposes common core, etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate opposes reductions in military spending","Candidate supports calls for increased American intervention to combat terrorism","Candidate provides no information","","Tea Party Republican",0,0,0,1,"POSITIVE MENTION","NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"615","PETER","RICKARDS","ID",2,"Democrat","","","https://www.peterforidaho.com/","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate explicitly supports ACA","Candidate provides no information","Candidate supports raising taxes on the wealthy/corporations","Candidate opposes business regulations and other ""red tape""","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports legalization/decriminalization of marijuana","Candidate provides no information","Candidate provides no information","Candidate provides no information","Other","",0,0,1,0,"NEGATIVE MENTION","COMPLICATED","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
